drug,info
Azithromycin,"Azithromycin is an antibiotic that fights bacteria. Azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases. Azithromycin may also be used for purposes not listed in this medication guide. You should not use azithromycin if you have ever had jaundice or liver problems when you have previously taken this medicine."
Baclofen,"Baclofen is a muscle relaxer and an antispasmodic agent. Baclofen is used to treat muscle symptoms; such as spasm, pain and stiffness; caused by multiple sclerosis, spinal cord injuries, or other spinal cord disorders. It is given intrathecally (directly into the spinal cord) or orally (by mouth). Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. Do not drive or operate heavy machinery until you know how baclofen affects you. Do not stop using baclofen suddenly, or you could have unpleasant withdrawal symptoms."
Benadryl,"Benadryl (diphenhydramine) is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Benadryl is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms. Benadryl is also used to treat motion sickness, to induce sleep, and to treat certain symptoms of Parkinsons disease. You should not use Benadryl to make a child sleepy."
Bupropion,"Bupropion is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder. The Zyban brand of bupropion is used to help people stop smoking by reducing cravings and other withdrawal effects. Bupropion may also be used for purposes not listed in this medication guide. You should not take bupropion if you have seizures or an eating disorder, or if you have suddenly stopped using alcohol, seizure medication, or sedatives. If you take Wellbutrin for depression, do not also take Zyban to quit smoking."
Buspirone,"Buspirone is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. Buspirone is used to treat symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms. Buspirone is not an anti-psychotic medication and should not be used in place of medication prescribed by your doctor for psychotic disorders. Do not use buspirone if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine."
Benzonatate,"Benzonatate is a non-narcotic cough medicine. Benzonatate works by numbing the throat and lungs, making the cough reflex less active. Benzonatate is used to relieve coughing.You should not use this medication if you are allergic to benzonatate or topical numbing medicines such as tetracaine or procaine (found in some insect bite and sunburn creams)."
Duloxetine,"Duloxetine is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression. Duloxetine is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old. Duloxetine is also used in adults to treat fibromyalgia (a chronic pain disorder), or chronic muscle or joint pain (such as low back pain and osteoarthritis pain)., Duloxetine is also used to treat pain caused by nerve damage in adults with diabetes (diabetic neuropathy)."
Montelukast,"This medicine may interact with other drugs or health problems. Tell your doctor and pharmacist about all of your drugs (prescription or OTC, natural products, vitamins) and health problems. You must check to make sure that it is safe for you to take this medicine (montelukast tablets) with all of your drugs and health problems. Do not start, stop, or change the dose of any drug without checking with your doctor."
Cephalexin,"Cephalexin is a cephalosporin (SEF a low spor in) antibiotic. It works by fighting bacteria in your body. Cephalexin is used to treat infections caused by bacteria, including upper respiratory infections, ear infections, skin infections, urinary tract infections and bone infections. Cephalexin may also be used for purposes not listed in this medication guide. You should not use this medicine if you are allergic to cephalexin or to similar antibiotics, such as Ceftin, Cefzil, Omnicef, and others. Tell your doctor if you are allergic to any drugs, especially penicillins or other antibiotics, or if you have kidney or liver disease, a stomach or intestinal disorder such as colitis, diabetes, or if you are malnourished."
Cetirizine,"Cetirizine is an antihistamine that reduces the natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. It is used to treat cold or allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat itching and swelling caused by hives. Cetirizine may also be used for other purposes not listed in this medication guide. Before taking cetirizine, tell your doctor about all of your medical conditions."
Ciprofloxacin,"Ciprofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic that fights bacteria in the body. It is used to treat different types of bacterial infections, including skin infections, bone and joint infections, respiratory or sinus infections, urinary tract infections, and certain types of diarrhea. It is also used to treat gonorrhea. Ciprofloxacin is also used to treat people who have been exposed to anthrax or certain types of plague. Ciprofloxacin should be used only for infections that cannot be treated with a safer antibiotic. Fluoroquinolone antibiotics can cause serious or disabling side effects that may not be reversible, such as tendon rupture or nerve problems."
Citalopram,"Citalopram is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Citalopram is used to treat depression. Citalopram may also be used for purposes not listed in this medication guide. You should not use citalopram if you also take pimozide, or if you are being treated with methylene blue injection."
Clindamycin,"Clindamycin is an antibiotic that fights bacteria in the body. Clindamycin is used to treat serious infections caused by bacteria. Clindamycin may also be used for purposes not listed in this medication guide. Clindamycin can cause diarrhea, which may be severe or lead to serious, life-threatening intestinal problems. If you have diarrhea that is watery or bloody, stop using this medicine and call your doctor."
Clonazepam,"Clonazepam is a benzodiazepine. It affects chemicals in the brain that may be unbalanced to treat seizures and certain types of anxiety disorders. Clonazepam, a type of anti-epileptic drug, is used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children. Clonazepam is also used to treat panic disorder (including agoraphobia) in adults. You should not use clonazepam if you have narrow-angle glaucoma or severe liver disease, or if you are allergic to diazepam (Valium), lorazepam (Ativan) or a similar medicine."
Clonidine,"Clonidine lowers blood pressure by decreasing the levels of certain chemicals in your blood. This allows your blood vessels to relax and your heart to beat more slowly and easily. The Catapres brand of clonidine is used to treat hypertension (high blood pressure). The Kapvay brand is used to treat attention deficit hyperactivity disorder (ADHD). Clonidine is sometimes given with other medications. Before you take clonidine, tell your doctor if you have heart disease or severe coronary artery disease, a heart rhythm disorder, slow heartbeats, low blood pressure, a history of heart attack or stroke, kidney disease, or if you have ever had an allergic reaction to a Catapres TTS transdermal skin patch."
Cyclobenzaprine,"Cyclobenzaprine is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury. Cyclobenzaprine may also be used for purposes not listed in this medication guide. You should not use cyclobenzaprine if you have an allergy to the medication, a certain type of thyroid disorder (hyperthyroidism), heart block, congestive heart failure, a heart rhythm disorder, or you have recently had a heart attack."
Cymbalta,"Cymbalta (duloxetine) is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression. Cymbalta is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old. Cymbalta is also used in adults to treat fibromyalgia (a chronic pain disorder), or chronic muscle or joint pain (such as low back pain and osteoarthritis pain).Cymbalta is also used to treat pain caused by nerve damage in adults with diabetes (diabetic neuropathy)."
Diazepam,"Diazepam is a benzodiazepine (ben-zoe-dye-AZE-eh-peens). It affects chemicals in the brain that may be unbalanced in people with anxiety. Diazepam is used to treat anxiety disorders, alcohol withdrawal symptoms, or muscle spasms. Diazepam is sometimes used with other medications to treat seizures. You should not use this medicine if you are allergic to diazepam or similar medicines (Klonopin, Xanax, and others), or if you have myasthenia gravis, severe liver disease, narrow-angle glaucoma, a severe breathing problem, or sleep apnea."
Diclofenac,"Diclofenac is a nonsteroidal anti-inflammatory drug (NSAID). This medicine works by reducing substances in the body that cause pain and inflammation. Diclofenac is used to treat mild to moderate pain, or signs and symptoms of osteoarthritis or rheumatoid arthritis. Voltaren is also indicated for the treatment of ankylosing spondylitis.The Cataflam brand of this medicine is also used to treat menstrual cramps. Diclofenac powder (Cambia) is used to treat a migraine headache attack. Cambia will only treat a headache that has already begun. It will not prevent headaches or reduce the number of attacks. You should not use diclofenac if you have a history of allergic reaction to aspirin or NSAIDs (non-steroidal anti-inflammatory drugs)."
Doxycycline,"Doxycycline is a tetracycline antibiotic that fights bacteria in the body. Doxycycline is used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, respiratory infections, eye infections, gonorrhea, chlamydia, syphilis, periodontitis (gum disease), and others. Doxycycline is also used to treat blemishes, bumps, and acne-like lesions caused by rosacea. It will not treat facial redness caused by rosacea. Some forms of doxycycline are used to prevent malaria, to treat anthrax, or to treat infections caused by mites, ticks, or lice."
Eliquis,"Eliquis (apixaban) blocks the activity of certain clotting substances in the blood. Eliquis is used to lower the risk of stroke or a blood clot in people with a heart rhythm disorder called atrial fibrillation. Eliquis is also used to lower the risk of forming a blood clot in the legs and lungs of people who have just had hip or knee replacement surgery. Eliquis is used to treat blood clots in the veins of your legs (deep vein thrombosis) or lungs (pulmonary embolism), and lower the risk of them occurring again."
Escitalopram,"Escitalopram is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). It affects chemicals in the brain that may be unbalanced in people with depression or anxiety., Escitalopram is used to treat anxiety in adults. Escitalopram is also used to treat major depressive disorder in adults and adolescents who are at least 12 years old. You should not use escitalopram you also take pimozide (Orap) or citalopram (Celexa)."
Famotidine,"Famotidine is a histamine-2 blocker that works by decreasing the amount of acid the stomach produces. Famotidine is used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome. Famotidine also treats gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn. Before taking famotidine, tell your doctor if you have kidney or liver disease, a history of Long QT syndrome, stomach cancer or other problems, or asthma, COPD, or other breathing problems."
Fentanyl,"Fentanyl is an opioid pain medication, sometimes called a narcotic. Fentanyl patches are a strong prescription pain medicine. The patches are used to treat moderate to severe chronic pain around the clock. Fentanyl patches are used when other pain treatments such as non-opioid pain medicines or immediate-release opioid medicines do not treat your pain well enough or you cannot tolerate them. Fentanyl patches are not for treating mild or occasional pain or pain from surgery. The patches are not for use to treat pain that is not around-the-clock."
Flexeril,"The Flexeril brand name has been discontinued in the U.S. If generic versions of this product have been approved by the FDA, there may be generic equivalents available. Flexeril (cyclobenzaprine) is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Flexeril is used together with rest and physical therapy to treat skeletal muscle conditions such as pain, injury, or spasms. Flexeril may also be used for purposes not listed in this medication guide."
Fluoxetine,"Fluoxetine is a selective serotonin reuptake inhibitor (SSRI) antidepressant. Fluoxetine affects chemicals in the brain that may be unbalanced in people with depression, panic, anxiety, or obsessive-compulsive symptoms. Fluoxetine is used to treat major depressive disorder, bulimia nervosa (an eating disorder), obsessive-compulsive disorder, panic disorder, and premenstrual dysphoric disorder (PMDD). Fluoxetine is sometimes used together with another medication called olanzapine (Zyprexa) to treat manic depression caused by bipolar disorder. This combination is also used to treat depression after at least 2 other medications have been tried without successful treatment of symptoms. If you also take olanzapine (Zyprexa), read the Zyprexa medication guide and all patient warnings and instructions provided with that medication."
Furosemide,"Furosemide is a loop diuretic (water pill) that prevents your body from absorbing too much salt. This allows the salt to instead be passed in your urine. Furosemide is used to treat fluid retention (edema) in people with congestive heart failure, liver disease, or a kidney disorder such as nephrotic syndrome. Furosemide is also used to treat high blood pressure (hypertension). You should not use furosemide if you are unable to urinate."
Gabapentin,"Gabapentin is an anti-epileptic drug, also called an anticonvulsant. It affects chemicals and nerves in the body that are involved in the cause of seizures and some types of pain. Gabapentin is used in adults to treat neuropathic pain (nerve pain) caused by herpes virus or shingles (herpes zoster). The Gralise brand of gabapentin is indicated for the management of neuropathic pain only. It is not used for epilepsy. The Horizant brand of gabapentin, in addition to treating neuropathic pain, is also used to treat restless legs syndrome (RLS)."
Hydrochlorothiazide,"Hydrochlorothiazide is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention. Hydrochlorothiazide is used to treat high blood pressure (hypertension). Hydrochlorothiazide is also used to treat fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or kidney disorders, or edema caused by taking steroids or estrogen. You should not use hydrochlorothiazide if you are unable to urinate."
Hydrocodone,"Hydrocodone is an opioid pain medication. Zohydro ER and Hysingla ER are extended-release forms of hydrocodone that are used for around-the-clock treatment of severe pain. Extended-release hydrocodone is not for use on an as-needed basis for pain. Hydrocodone can slow or stop your breathing. Never use this medicine in larger amounts, or for longer than prescribed. Do not crush, break, or open an extended-release pill. Swallow it whole to avoid exposure to a potentially fatal dose."
Hydroxyzine,"Hydroxyzine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of itching, or hives on the skin. Hydroxyzine may be used to treat allergic skin reactions such as hives or contact dermatitis. Since hydroxyzine also reduces activity in the central nervous system, it can be used as a sedative to treat anxiety and tension. It is also used together with other medications given during and after general anesthesia. Hydroxyzine is also used to treat allergic skin reactions such as hives or contact dermatitis. Hydroxyzine may cause birth defects. Talk to you doctor before using hydroxyzine if pregnant or breastfeeding."
Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Ibuprofen is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury. Ibuprofen is used in adults and children who are at least 6 months old., Ibuprofen can increase your risk of fatal heart attack or stroke, especially if you use it long term or take high doses, or if you have heart disease. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
Klonopin,"Klonopin (clonazepam) is a benzodiazepine. Clonazepam affects chemicals in the brain that may be unbalanced. Clonazepam is also a seizure medicine, also called an anti-epileptic drug.Klonopin is used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children. Klonopin is also used to treat panic disorder (including agoraphobia) in adults. Klonopin may also be used for purposes not listed in this medication guide."
Levothyroxine,"Levothyroxine is a thyroid medicine that replaces a hormone normally produced by your thyroid gland to regulate the bodys energy and metabolism. Levothyroxine is given when your thyroid does not produce enough of this hormone on its own. Levothyroxine is used to treat hypothyroidism (low thyroid hormone). It is also used to treat or prevent goiter (enlarged thyroid gland), which can be caused by hormone imbalances, radiation treatment, surgery, or cancer. There are many brands and forms of levothyroxine available. Not all brands are listed on this leaflet."
Lexapro,Lexapro (escitalopram) is an antidepressant in a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Escitalopram affects chemicals in the brain that may be unbalanced in people with depression or anxiety. Lexapro is used to treat anxiety in adults. Lexapro is also used to treat major depressive disorder in adults and adolescents who are at least 12 years old. You should not use Lexapro you also take pimozide (Orap) or citalopram (Celexa).
Lisinopril,"Lisinopril is an ACE inhibitor. ACE stands for angiotensin converting enzyme. Lisinopril is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old., Lisinopril is also used to treat congestive heart failure in adults, or to improve survival after a heart attack. Do not use lisinopril if you are pregnant. It could harm the unborn baby. Stop using this medicine and tell your doctor right away if you become pregnant."
Lithium,"Lithium affects the flow of sodium through nerve and muscle cells in the body. Sodium affects excitation or mania. Lithium is used to treat the manic episodes of bipolar disorder (manic depression). Manic symptoms include hyperactivity, rushed speech, poor judgment, reduced need for sleep, aggression, and anger. Lithium also helps to prevent or lessen the intensity of manic episodes. Do not use lithium without telling your doctor if you are pregnant. It could cause harm to the unborn baby. Use an effective form of birth control, and tell your doctor if you become pregnant during treatment."
Loratadine,"Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Loratadine is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms. Loratadine is also used to treat skin hives and itching in people with chronic skin reactions. You should not take this medication if you are allergic to loratadine or to desloratadine (Clarinex)."
Lorazepam,"Lorazepam belongs to a group of drugs called benzodiazepines. It affects chemicals in the brain that may be unbalanced in people with anxiety. Lorazepam is used to treat anxiety disorders and seizure disorders. It is dangerous to purchase lorazepam on the Internet or outside the United States. The sale and distribution of medicines outside the U.S. does not comply with safe-use regulations of the Food and Drug Administration (FDA). These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy.You should not use lorazepam if you have narrow-angle glaucoma, severe respiratory insufficiency, myasthenia gravis, or if you are allergic to Valium or a similar medicine."
Losartan,"Losartan (Cozaar) belongs to a group of drugs called angiotensin II receptor antagonists. It keeps blood vessels from narrowing, which lowers blood pressure and improves blood flow. Losartan is used to treat high blood pressure (hypertension). It is also used to lower the risk of stroke in certain people with heart disease. Losartan is used to slow long-term kidney damage in people with type 2 diabetes who also have high blood pressure., Losartan may also be used for purposes not listed in this medication guide."
Lyrica,"Lyrica (pregabalin) was originally FDA approved as an anti-epileptic drug, also called an anticonvulsant. It works by slowing down impulses in the brain that cause seizures. Pregabalin also affects chemicals in the brain that send pain signals across the nervous system. Lyrica is used to treat pain caused by fibromyalgia, or nerve pain in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or spinal cord injury., Lyrica may also be used for purposes not listed in this medication guide. Lyrica can cause a severe allergic reaction. Stop taking this medicine and seek emergency medical help if you have hives or blisters on your skin, trouble breathing, or swelling in your face, mouth, or throat."
Melatonin,"Melatonin is the natural hormone your body secretes that helps to maintain your wake-sleep cycle (also called biological clock). The wake-sleep cycle is the process of sleep and wakefulness; in humans this averages 8 hours of nighttime sleep and 16 hours of daytime activity. Melatonin is also made synthetically and available without a prescription as an over-the-counter (OTC) dietary supplement in the U.S. Melatonin supplementation has been suggested to have many uses, from sleep disorders to cancer treatment , but robust studies are lacking for many uses. However, it has been widely studied for treatment of jet lag and other sleep disorders."
Meloxicam,Meloxicam is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Meloxicam is used to treat pain or inflammation caused by rheumatoid arthritis and osteoarthritis in adults. Meloxicam is also used to treat juvenile rheumatoid arthritis in children who are at least 2 years old. Meloxicam may also be used for purposes not listed in this medication guide.
Metformin,"Metformin is an oral diabetes medicine that helps control blood sugar levels. Metformin is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus. Metformin is sometimes used together with insulin or other medications, but it is not for treating type 1 diabetes. You should not use metformin if you have severe kidney disease, metabolic acidosis, or diabetic ketoacidosis (call your doctor for treatment)."
Methocarbamol,Methocarbamol is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Methocarbamol is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury. Methocarbamol may also be used for purposes not listed in this medication guide. You should not use this medication if you are allergic to methocarbamol.
Metoprolol,Metoprolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins). Metoprolol is used to treat angina (chest pain) and hypertension (high blood pressure). Metoprolol is also used to lower your risk of death or needing to be hospitalized for heart failure. Metoprolol injection is used during the early phase of a heart attack to lower the risk of death.
Metronidazole,"Metronidazole is an antibiotic that fights bacteria. Metronidazole is used to treat bacterial infections of the vagina, stomach or intestines, liver, skin, joints, brain, heart, and respiratory tract. Metrogel (topical metronidazole) is also used to treat rosacea, a skin condition. Vaginal metronidazole gel is also used to treat bacterial infections of the vagina. Metronidazole will not treat a vaginal yeast infection. You should not use metronidazole if you are allergic to it, or if you have taken disulfiram (Antabuse) within the past 2 weeks."
Miralax,"MiraLAX (polyethylene glycol 3350) is a laxative solution that increases the amount of water in the intestinal tract to stimulate bowel movements. MiraLAX is used as a laxative to treat occasional constipation or irregular bowel movements. MiraLAX may also be used for purposes not listed in this medication guide.You should not use MiraLAX if you have a bowel obstruction or intestinal blockage. If you have any of these conditions, you could have dangerous or life-threatening side effects from MiraLAX."
Mirtazapine,Mirtazapine is an antidepressant. The way this medication works is still not fully understood. It is thought to positively affect communication between nerve cells in the central nervous system and/or restore chemical balance in the brain. Mirtazapine is used to treat major depressive disorder. Mirtazapine may also be used for purposes not listed in this medication guide.You should not take mirtazapine if you are also taking tryptophan (sometimes called L-tryptophan).
Dicyclomine,Dicyclomine relieves spasms of the muscles in the stomach and intestines.Dicyclomine is used to treat functional bowel or irritable bowel syndrome. This medication may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.
Fluconazole,"Fluconazole is an antifungal medicine.Fluconazole is used to treat infections caused by fungus, which can invade any part of the body including the mouth, throat, esophagus, lungs, bladder, genital area, and the blood. Fluconazole is also used to prevent fungal infection in people who have a weak immune system caused by cancer treatment, bone marrow transplant, or diseases such as AIDS. Fluconazole is also used to treat a certain type of meningitis in people with HIV or AIDS."
Mupirocin,"Mupirocin is an antibiotic that prevents bacteria from growing on your skin.Mupirocin topical (for use on the skin) is used to treat skin infections such as impetigo (IM-pe-TYE-go) or a ""Staph"" infection of the skin.You should not use mupirocin topical if you are allergic to mupirocin.To make sure mupirocin topical is safe for you, tell your doctor if you have ever had kidney disease."
Mucinex,"Mucinex (guaifenesin) is an expectorant. It helps loosen congestion in your chest and throat, making it easier to cough out through your mouth. Mucinex is used to reduce chest congestion caused by the common cold, infections, or allergies. Mucinex may also be used for purposes not listed in this medication guide. Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
Naproxen,"Naproxen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Naproxen is used to treat pain or inflammation caused by conditions such as arthritis, ankylosing spondylitis, tendinitis, bursitis, gout, or menstrual cramps. It can also be used to treat acute pain caused by other conditions not listed in this medication guide., The delayed-release or extended-release tablets are slower-acting forms of naproxen that are used only for treating chronic conditions such as arthritis or ankylosing spondylitis. These forms will not work fast enough to treat acute pain. You should not use naproxen if you have a history of allergic reaction to aspirin or other NSAID (nonsteroidal anti-inflammatory drug)."
Omeprazole,Omeprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach. Omeprazole is used to treat symptoms of gastroesophageal reflux disease (GERD) and other conditions caused by excess stomach acid. It is also used to promote healing of erosive esophagitis (damage to your esophagus caused by stomach acid). Omeprazole may also be given together with antibiotics to treat gastric ulcer caused by infection with Helicobacter pylori (H. pylori).Over-the-counter (OTC) omeprazole is used to help control heartburn that occurs 2 or more days per week. The OTC brand of omeprazole must be taken as a course on a regular basis for 14 days in a row.
Ondansetron,"Ondansetron blocks the actions of chemicals in the body that can trigger nausea and vomiting. Ondansetron is used to prevent nausea and vomiting that may be caused by surgery, cancer chemotherapy, or radiation treatment. Ondansetron may be used for purposes not listed in this medication guide.You should not use ondansetron if you are also using apomorphine (Apokyn)."
Oxycodone,"Oxycodone is an opioid pain medication sometimes called a narcotic.Oxycodone is used to treat moderate to severe pain.The extended-release form of oxycodone is for around-the-clock treatment of pain and should not be used on an as-needed basis for pain.You should not use oxycodone if you have severe asthma or breathing problems, or a blockage in your stomach or intestines."
Pantoprazole,"Pantoprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach.Pantoprazole is used to treat erosive esophagitis (damage to the esophagus from stomach acid caused by gastroesophageal reflux disease, or GERD) in adults and children who are at least 5 years old. Pantoprazole is usually given for up to 8 weeks at a time while your esophagus heals. Pantoprazole is also used to treat Zollinger-Ellison syndrome and other conditions involving excess stomach acid. Pantoprazole is not for the immediate relief of heartburn symptoms."
